Province,Date,Item,Count
香港,2020-05-11,confirmed,1047
香港,2020-05-10,confirmed,1047
香港,2020-05-09,confirmed,1044
香港,2020-05-08,confirmed,1044
香港,2020-05-07,confirmed,1040
香港,2020-05-05,confirmed,1040
香港,2020-05-04,confirmed,1040
香港,2020-05-03,confirmed,1039
香港,2020-05-02,confirmed,1039
香港,2020-05-01,confirmed,1039
香港,2020-04-30,confirmed,1037
香港,2020-04-29,confirmed,1037
香港,2020-04-28,confirmed,1037
香港,2020-04-27,confirmed,1037
香港,2020-04-25,confirmed,1037
香港,2020-04-24,confirmed,1035
香港,2020-04-23,confirmed,1035
香港,2020-04-22,confirmed,1033
香港,2020-04-21,confirmed,1029
香港,2020-04-20,confirmed,1025
香港,2020-04-19,confirmed,1025
香港,2020-04-18,confirmed,1021
香港,2020-04-17,confirmed,1021
香港,2020-04-16,confirmed,1017
香港,2020-04-15,confirmed,1016
香港,2020-04-14,confirmed,1009
香港,2020-04-13,confirmed,1009
香港,2020-04-12,confirmed,1004
香港,2020-04-11,confirmed,1000
香港,2020-04-10,confirmed,989
香港,2020-04-09,confirmed,973
香港,2020-04-08,confirmed,935
香港,2020-04-07,confirmed,935
香港,2020-04-06,confirmed,890
香港,2020-04-05,confirmed,862
香港,2020-04-04,confirmed,862
香港,2020-04-03,confirmed,802
香港,2020-04-02,confirmed,802
香港,2020-04-01,confirmed,765
香港,2020-03-31,confirmed,682
香港,2020-03-30,confirmed,641
香港,2020-03-29,confirmed,582
香港,2020-03-28,confirmed,518
香港,2020-03-27,confirmed,519
香港,2020-03-26,confirmed,410
香港,2020-03-25,confirmed,386
香港,2020-03-24,confirmed,356
香港,2020-03-23,confirmed,356
香港,2020-03-22,confirmed,273
香港,2020-03-21,confirmed,273
香港,2020-03-20,confirmed,208
香港,2020-03-19,confirmed,192
香港,2020-03-18,confirmed,167
香港,2020-03-17,confirmed,157
香港,2020-03-16,confirmed,149
香港,2020-03-15,confirmed,141
香港,2020-03-14,confirmed,137
香港,2020-03-13,confirmed,131
香港,2020-03-12,confirmed,129
香港,2020-03-11,confirmed,120
香港,2020-03-10,confirmed,115
香港,2020-03-09,confirmed,114
香港,2020-03-08,confirmed,109
香港,2020-03-07,confirmed,107
香港,2020-03-06,confirmed,105
香港,2020-03-05,confirmed,105
香港,2020-03-04,confirmed,102
香港,2020-03-03,confirmed,100
香港,2020-03-02,confirmed,98
香港,2020-03-01,confirmed,95
香港,2020-02-28,confirmed,93
香港,2020-02-27,confirmed,91
